RowID,ResponseId,Q6_definition,exclude,open-repeatable,result-same,result-similar,data-same,data-new,context-new,methods-same,methods-varied,validate-external,unique-space-time,context-same,validate-internal,epistemology,notes
162,R_20Zrza4J6xJjNXG,The data we collect from the field and also generated out of the morphometric studies can be used in multiple ways to strengthening our interpretation or to prove the notions with multiple parameters.,1,,,,,,,,,,,,,,
163,R_XvvTXkW67vuobyp,NA,1,,,,,,,,,,,,,,
164,R_SZuw11jHEFjFCUh,That a study should be able to be replicated with the information provided in an article and associated content (e.g. online datasets and code).,,1,,1,1,,,1,,,,,,,
165,R_2s5YBRqwSEvQq3s,An alternate researcher or research team is able to get the same or very similar results using the same experimental setup or field sampling design.,,1,,1,,,,1,,,,,,,
166,R_1SQxbTCROMaTCRH,When results can be reproduced systemically and within error of each independent measurement,,,,,,,,,,,,,1,,
167,R_qVkxEMbhcoR5MWd,Not thinking about it too much,1,,,,,,,,,,,,,,ok!
168,R_2cbeZl6DrEbfuhg,"Replicability of research results is important to persuade people to understand.  However, while we conduct research, we usually do not think about replicability.  Replicability matters after we get certain results, and this means that replicability largely depends on other researchers' inspection.    
",,,,,,,,,,1,,,,,
169,R_9yjSPJNrxM34AJX,"Replicability means that, if another researcher reads one of my papers they will be able to repeat the experiments and achieve the same results.",,1,1,,,,,,,,,,,,
170,R_b7Aqz1046LWRGOB,"The methods is somewhat general, and the software can be used in different field.",,,,,,,1,1,,,,,,,
171,R_3s6X41w0Nmc8CrS,data and method sharing,,1,,,1,,,1,,,,,,,
172,R_1f8jSTA2aO4BrIu,NA,1,,,,,,,,,,,,,,
173,R_3RaulrncYoApMmL,the research results could be reproduced by others,,,1,,,,,,,,,,,,
174,R_3g14nsAAC2YUEz7,The methodologies provided in research outputs enable others to produce the same results from the same dataset.,,1,1,,1,,,1,,,,,,,
175,R_32JWfrD9xNtlcoc,NA,1,,,,,,,,,,,,,,
176,R_3JfxLzPYz0yYY05,That anyone can repeat your study.,,1,,,,,,,,,,,,,
177,R_3G2j1MeTjxp2PQP,It can be copied and be learned to some extent for improvement.,,1,,,,,,,,,,,,,
178,R_1rel4tgU8Tlothm,"the describe methodology can be reused, repeat by other researcher in other geographical area",,1,,,,,1,1,,,,,,,
179,R_Tk2dvBRyudDo73r,"A research study is replicable when the entire research process is conducted again, using the same methods but new data, and still yields the same results. This shows that the results of the original study are reliable.",,,1,,,1,,1,,1,,,,,
180,R_pMlKAD4q0vYUjJL,"The claim that empirical research of a study can be repeated in the same way as it was done in the study. However, this is not exactly possible in qualitative research, as data collection is always a co-construction between all persons involved in the data collection. Transferred to qualitative research, this means for me rather that one would use the same questions, analyse the data with the same methods, etc. The fact that the results are not necessarily the same is not a weakness, but rather to be expected, since our knowledge is always embedded and co-constructed. 

",,,,,,,,1,,,1,,,1,
181,R_1g1qq1sif8LrQUw,NA,1,,,,,,,,,,,,,,
182,R_5i18aeRbLn0KjSN,"providing the data I analyze together with describing my analytical steps in detail so that another researcher can ""re-do"" my analysis",,1,,,1,,,1,,,,,,,
183,R_3n77tPjjYIWc1cR,"The analysis I have conducted should be replicable using the data I make available (or through the collection of the same data) by other researchers.

A study with high external validity makes the results replicable in different (but comparable) contexts with different (but comparable) data",,1,,,1,1,1,1,,1,,1,,,
184,R_32QOe4jF6xH5Dvt,"by ""replicability"" I understand the possibility of repeating research by other researchers.",,1,,,,,,,,,,,,,
185,R_12rtJeK1Q8uithM,"Providing the methods used, my peers should be able to replicate my research and achieve the same results - within statistical uncertainties.",,1,1,,,,,1,,,,,,,
186,R_ugJNCts0DB8UDx7,"In transport (as probably in other fields) it means obtaining similar/ consistent results on new data or other computational methods, across studies aimed at answering the same research question. It also means that current studies should publish enough detail to enable researchers to obtain the same results as the published study when applying their approaches to the same data.",,1,,1,,1,,,1,1,,,,,
187,R_QfC5BqtNBIM18lj,The ability of other scholars to use the same methods to come to the same research results,,1,1,,,,,1,,,,,,,
188,R_2cC9Jagr4KsA1Wq,"The availability of data, codes, etc so that the analysis conducted can be reproduced, including using alternative samples, by other researchers.",,1,1,,1,1,,1,,,,,,,
189,R_3lMreejg02CES3V,repeating the analysis of 'unknowns' and receiving the same (within uncertainties) results,,,1,,,,,1,,,,,,,
190,R_3NEeYSMCiB9MAEN,A researcher with the same level of understanding should be able to follow the same methods in a study and achieve similar results and conclusions.,,1,,1,,,,1,,,,,,,
191,R_zShF30Uu02xEICd,Accuracy of determinants at seascape or landscape scales  by virtue of representative sampling and analytical accuracy and choice of determinants to contrain alterative interpratations of the conclusion,,,,,,,,,,,,,1,,
192,R_1E4cSAKWKE0Gmqx,To provide the complete dataset of results and an accurate methodology so that others can replicate your method and obtain the same outcome.,,1,1,,1,,,1,,,,,,,
193,R_3JDyx6DaPYLYCTT,"(1) To apply the methods of published research in other areas or in a local case study with new findings;

(2) To develop an indigenous framework based on a theory published and widely discussed;

(3) To replicate existing research in another study to solve specific problems or response to specific phenomena.",,,,,,,1,1,,,,,,,don't know what to do with 2) and 3)
194,R_32Q6Rwar8wdJipq,The same research results can be obtained when the same research methods are applied to the same subject by third parties and by the original researchers.,,,1,,,,,1,,,,,,,
195,R_Y3J7NHT5owB7BOV,Others should be able to replicate a published study independently from info given and derive same results,,1,1,,,,,,,,,,,,
196,R_3ISkQ8fcHYBtgGQ,Ability to reproduce the results of a research by following a clear procedure,,1,1,,,,,1,,,,,,,
197,R_bw794vHjEVb5bih,In short: my research  can be repeated by others.,,1,,,,,,,,,,,,,
198,R_CdZOp2Zpk0DkX9n,"Getting the same results after using the same methods as described in a previous study. In my field (ecology and evolution), this is mostly thought of in the context of experiments. Because my field is related to the entire diversity of life on Earth and all of its habitats, we frequently find different results using similar methods, and attribute that to species variation, changes over time, or different environments. I'm not aware of any efforts in E&E to exactly replicate a study.",,,1,,,,,1,,,1,,,,
199,R_22M1rRe9jg23U72,A third party should be able to perform the same study and follow all processes / decisions.,,1,,,,,,,,,,,,,
200,R_10VJBUOrqWGhdYM,NA,1,,,,,,,,,,,,,,
201,R_DqVnI6T67L30pNL,"Providing sufficient information on methods and access to data for readers of my publications to reproduce my results and eventually spot issues with their validity
",,1,1,,,,,,,,,,,,
202,R_voCbvTZhCTWEXFD,A replicable study should allow the possibility of applying the same methods or performing the same analyses in areas with similar characteristics,,,,,,,1,1,,,,1,,,
203,R_5nJTN2ZzJCggozD,"As I instruct my graduate students - if someone were to conduct your research using the methodology you describe, would they produce the same (or very similar) results?",,,1,1,,,,1,,,,,,,
204,R_1kGKQCTPNe3yLFH,to obtain consistent results across studies,,,,1,,,,,,1,,,,,
205,R_1JVnmzyFoIeU1QF,"The possibility of repeat the same experiment more than one time, obtaining more or less the same results.",,,1,,,,,1,,,,,,,
206,R_exPGcvH5OgqUa1X,NA,1,,,,,,,,,,,,,,
207,R_2775qqxiRTtt1cs,"Whether or not a study can be reproduced, using the same methods, in a different context.",,,,1,,,1,1,,,,,,,
208,R_1gu9AaeVpVNbhwd,Replication of outputs based on the description of methods or provided code.,,,1,,,,,1,,,,,,,
209,R_3IQP2wtccGZwiZl,"Offering readers all resources (data, code, instructions...) needed to replicate a study's results",,1,,,1,,,1,,,,,,,
210,R_3s0KrPYI9sPEsZE,permanent or sustainable,1,,,,,,,,,,,,,,
211,R_0cUYL2XcxKAc0pj,Apply the same research method to obtain similar results.,,,,1,,,,1,,,,,,,
212,R_qVib0ammWKmcgXT,"Authors should provide all necessary raw data, data descriptions and programme codes that allow the replication of their results.",,1,,,1,,,1,,,,,,,
213,R_2WNEa9aWJQnpI32,Being able to replicate the research with the data provided in a paper,,,,,1,,,,,,,,,,
214,R_pJBMLsumdf5FiZb,"replicating policy and development frameworks across different places, countries and contexts and ""replicating"" effects.",,,,,,,1,1,,,,,,,
215,R_2VJuZ1RbgSIpvbM,"Whether the results of a study can be reproduced methodologically.
Whether the results of a study have been reproduced in the same or different system",,1,,1,,,1,1,,,,,,,
216,R_2fK9bZzbkSCZPZi,Obtaining consistent results across different analysis.,,,,1,,,,,1,,,,,,
217,R_bpcJpG1Ik5bxCbT,NA,,,,,,,,,,,,,,,
218,R_cD4SjWG6wsXrzrj,"Analysing biomolecules in sediment archives is time consuming and replicability can be obtain only after several attempts, which smoothen out the heterogeneity and unicity intrinsic to the samples.
So we're far from a simple replicability as in, I don't know, a pure chemistry procedure.",,,,,,,,,,,,,1,,
219,R_e8PdtGjZc7tyewF,"My understanding is that methods described in the study should be clear and step-wise, thus can be exploited and applied by other interested researchers. As a second understanding, the results of the applied methodology, when applied on another study region should provide comparatively similar performance",,1,,1,,,1,1,,1,,,,,
220,R_10Ox55zGINCNTzW,"I can distinguished two meanings.
1. The description of a scientific study in detail sufficient to enable the study to be repeated in all essential respects.
2. A scientific finding that has been repeatedly obtained is said to be replicable. 
",,1,,,,,,,,1,,,,,
221,R_12aL2yRxO8KivdA,you can adapt the same aplication to other spatial context,,,,,,,1,1,,,,,,,
222,R_3314IyqBXVcjtrr,"That two researchers (research teams) can carry out more or less the same study reaching independent each other and still reach results that resemble each other. However, qualitative studies as well as surveys can be difficult to replicate, should the respondents for instance be exactly the same - whereby you run the risk of respondents will reply differently precisely because they have been asked before whcih has led to reflection and chanings perceptions/attitudes.",,,1,,,,,1,,,,1,,1,
223,R_2dylAoRIMaUFf3E,"Data collection should be describes as precisely, so another person can just grab the protocol and exactly replicate the data. Te problem in my fild is that the experiments are huge, large in space and long, so it is difficult to actually replicate them. We were for example loggin a hectar of forest to survey all arthropods on them. Hard to do it again, at the same place and time, to obtain similar results.",,1,1,,,,,1,,,,,,,
224,R_3CPcL0lTQJo9TVP,ability of a different team to replicate your results,1,,,,,,,,,,,,,,
225,R_3m3k6FdTAqZLSTP,"not always applicable in my subfield, but I regard it as the possibility to repeat a very similar project with very similar results.",,,,1,,,,1,,,,,,,
226,R_2WIT7MBh29Vkc5q,"I can re-run the code using the data provided or my own data, and arrive at the same conclusion as the original authors claimed.",,,,1,1,1,,1,,,,,,,
227,R_enFtf1blrGyfTZT,Research process that can be replicated,1,,,,,,,,,,,,,,
228,R_2dKotriFg8OBGG4,restudy using same/new data and methods finds the similar results,,,,1,1,1,,1,,,,,,,
229,R_ZLj0qv8OCewptJL,Verify the results of research,,,,1,,,,,,,,,,,
230,R_3HGsYPHfQ7P2EQT,Policy transfer,1,,,,,,,,,,,,,,
231,R_Rm2Xzrqf2BSZLAR,To produce the data within a range of standard deviation under similar conditions,,,,1,,,,,,,,1,,,
232,R_4VOi5aNCYFvE4IV,"Replicabilty roughly means that when you do the same study/experiment again, you will find thesame effects",,,1,,,,,1,,,,,,,
233,R_1Q3qRHXnmeySkAs,"Being able to reproduce what other have done, if they provide enough data and information to replicate their experiments and results.",,1,1,,1,,,1,,,,,,,
234,R_2wSr2DUYESU433b,That another group could repeat the research and obtain similar results.,,1,,1,,,,,,,,,,,
235,R_TnkREaPVeoVqvWV,"I am a qualitative research. I work with feminist and queer methodologies and have written in that field. As you may be aware, there is considerable critique of the notion of 'replicability' especially when dealing with people's experiences and everyday lives. The notion of whether my work can be replicated has never been considered given the ontological and epistemological frames I work within.",,,,,,,,,,,,,,1,
236,R_2wLF4U2NAW5YixV,To be able to obtain results similar to the ones from a study in the same location using similar methods,,,,1,,,,,,,,1,,,
237,R_2iA4ZxLh2xcgyMV,Research results that can be replicated by someone else.,,1,,,,,,,,,,,,,
238,R_3HjGCTIojPwlaYO,The ability to obtain consistent results (given inherent amount of system variation) from independent studies designed to investigate the same hypothesis,,,,1,,,1,,,1,,,,,"may ""system variation"" imply new context?"
239,R_2EGMDM6DLhcZGGp,To ensure that any results produced using a particular method can be reproduced by a different researcher/analyst,,1,1,,,,,1,,,,,,,
240,R_DUf9mj6LbrKDJlL,Using your data or similarly produced data other scholars can find comparable results.,,,,1,1,1,,,,,,,,,
241,R_0cupkf4fRQjLf1f,The possibility of replicating the research methology and methods to test the achieved results,,1,,,,,,1,,1,,,,,
242,R_2zeHJRr4V0cTKWQ,It means that you can replicate the method or technique from another research,,1,,,,,,1,,,,,,,
243,R_ANzRI4FyY6OkG0p,The ability to replicate a study/successfully apply the same methods,,1,,,,,,1,,,,,,,
244,R_3EoSdicVny87FVP,"I rely on the definition provided by Bollen et al. (2015, p. 4): ""Replicability refers to the ability of a researcher to duplicate the results of a prior study if the same procedures are followed but new data are collected.""

Reference:
*************
Bollen, K.; Cacioppo, J. T.; Kaplan, R. M.; Krosnick, J. A.; Olds, J. L. (2015): Social, Behavioral, and Economic Sciences Perspectives on Robust and Reliable Science. Report of the Subcommittee on Replicability in Science. Advisory Committee to the National Science Foundation Directorate for Social, Behavioral, and Economic Sciences.",,,,1,,1,,1,,,,,,,
245,R_26hSbKV3v7G37sN,"I work with temperature palaeoreconstructions from the Quaternary. So I would say that if I have many (dozens to thousands) reconstructions of the temperature in Celsius degree and they reveal common trend that means results are replicable. If I have some reconstruction from well recognized region like Europe and it gives totally different trend then all the other and the Greenland Ice Cores, then it is outlier. Probably some local conditions, not climate, are the main driver then.",,,,1,,1,1,,,,,,,,
246,R_2bTb97pZHCUQPFl,That the data is open source and the methods are well described so that anyone with the correct expertise can replicate and get the exact results.,,1,1,,1,,,1,,,,,,,
247,R_2arhrt5roJt2dUu,One should be able to conduct a study again. This is good for validity and generalizability.,,1,,,,,,,,1,,,,,
248,R_1kNuJVzdFwP261q,NA,,,,,,,,,,,,,,,
249,R_3qq9piyuQmicdg2,That someone else can complete the same study and get the same/similar results,,1,1,1,,,,,,,,,,,
250,R_1mlVpGAtH8ozOxs,the quality of being able to be exactly copied or reproduced,,1,,,,,,,,,,,,,
251,R_3kzkSfKmZzAETSt,The same results obtained by the same methods in different laboratories.,,,1,,,,,1,,,,,,,
252,R_diN3pMe5WnNM3UR,The ability of an individual to produce the same results as those published by the original research team.,,,1,,,,,,,,,,,,
253,R_1gnMk01mhM4A78T,"repeatability of phenomena and processes over time, after the emergence of similar environmental conditions; the principle of geographical actuality",,,,1,,,1,,,,,1,,,
254,R_12maac4JzzzVJ49,"I consider replicability as meaning that another researcher could collect an independent sample from the same population, conduct the same analysis, and observe very similar or identical results.",,,,1,,1,,1,,,,1,,,
255,R_3fw9zzmSBdpfoku,"it is a term that is most often used in a positivist paradigm to point at the extent to which research result can be repeated in another research setting, or the extent to which research are externally generalizable. It is however an uncommon term used in qualitative research, where usually other criteria are being used to assess the rigour of research.",,,,,,,1,1,,1,,,,1,
256,R_1N1Svp5CfRCrP7y,"Replicability is the ability of reuse methods as well as evaluation experiments in order to learn, improve (or other purposes) approaches for solving a given problem.",,,,,,,,1,1,,,,,,
257,R_2dT638pkfuO1Y9q,Using data from different regions to achieve similar research ideas,,,,1,,,1,,,,,,,,
258,R_T2gXGhZLhfpgdm9,Our research can be replicable in other regions or periods.,,,,,,,1,,,,,,,,
259,R_3OpRADPduNKjEya,The use of new data or methods,,,,,,1,,,1,,,,,,
260,R_1HcK5Beyfyu1bVM,Ability to reproduce results from a previous by a different independent researcher using the same methods and parameters.,,1,1,,,,,1,,,,,,,
261,R_9yN3m8hSZw9DOtr,my research method is clear enough to be replicate by other researcher,,1,,,,,,,,,,,,,
262,R_2qlSz0jmuWrTNdd,"I think ""replicability"" is working the same research in other areas with similar situations and approaches",,,,,,,1,1,1,,,,,,
263,R_4OOu40Y7K5C4XwR,If you repeat an experiment/analysis/protocol it will produce similar results,,,,1,,,,1,,,,,,,
264,R_qJIMk1SgFbWFqZr,This means the extent to which the same research work can be done/replicated in other locations/areas obtaining consistent results across these studies [answering the same scientific question],,,,1,,,1,1,,1,,,,,
265,R_3h4wefeiWpv8qjl,A test can be done again. Results can be obtained according to the given process.,,,1,,,,,1,,,,,,,
266,R_2zj9ELKfr6t6eI6,"Clear presentation of results and analysis, such that methods can be understood and reproduced; moreover, it is increasingly common and expected in my field to publish datasets and/or code underlying the analyses to aid replicability.",,1,,,,,,,,,,,,,
267,R_2Phi6ekja5yq8fo,"As the ability to repeat the study, experiment or investigation in different situations, with different subjects and researchers. Considering as a key element, adaptation to the context.

",,,,,,,1,1,,,,,,,
268,R_1M08jGj2bY7Q1xS,"The procedure or approach that uses, in the field of geography, the same tools and means to conduct one research or study, and that implies, to some extents, predictable results.",,,,1,,,,1,,,,,,,
269,R_3EX39IG50mfpoyP,To use a study design that can be adopted by another researcher who is asking the same or similar research question and is interested to learn whether they will find the same or similar results.,,1,1,1,,,,1,,1,,,,,
270,R_p4qQv0HCkxIPjhf,the method could be used in similar area and the results is explainable.,,,,1,,,,1,,,,,,,
271,R_1DNHnDYV9Jbb3zZ,"Providing enough information and context of a scientific study for another, later study to be able to reproduce the original study.",,1,,,,,,,,,,,,,
272,R_u1x9B19QF2XIS1r,"I conduct fieldworks, social surveys, and numerical modeling. 

For fieldworks, results of a study can be replicated if nothing much changed in the study site and measurements were done again. In my case, I measured the size and orientation of coastal coral boulders. If these boulders were not moved or broken by strong waves, then same measurements will be recorded by another surveyor and results would most likely be similar. 

For social surveys, we target anecdotal accounts from old people. As long as these interviewees are alive and still capable to answer questions that we gave,  next interviewers would likely gather similar information.

Input data for numerical models that I work with are from historical databases. Model results will be replicated if the same data and model configurations are used.",,,1,,1,1,,1,,,,1,,,
273,R_a9I2KZxkQIqf2MN,Homogeneous scientific research,,,1,,1,,,1,,,,,,,
274,R_xAFZq46daQnmI6t,It must be possible for others to repeat all research you publish,,1,,,,,,,,,,,,,
275,R_2ea54TNXI0G2Yi9,Same method can be applied for different locations,,,,,,,1,1,,,,,,,
276,R_rfJb4mgwGKTERQB,"Replicability for example,  is the ability of a method to be replicable by different researchers in different parts of the world where they achieve the same or very similar results.",,1,,1,,,1,1,,,,,,,
277,R_da0uamrTt4giHpn,The capability to obtain consistent results following a consistent methodology.,,,,1,,,,1,,,,,,,
278,R_2pPiQTXqq6IxUt7,As researcher is important to assure the replicability of the study. It means allow the replication of the entire research process in order to conduct new study and verify the reliability of findings.,,1,,1,,,,,,1,,,,,
279,R_3KUdpK17gEnb4fU,Reading an article and using the same methods in another context,,,,,,,1,1,,,,,,,
280,R_3IQWK1cyrrAaBg8,Obtainig similar results within different laboratories for the same methodology,,,,1,,,1,1,,,,,,,
281,R_1DohHngwEUcSUtE,A research result which could be found with the exactly same research methods and sites.,,,1,,,,,1,,,,1,,,
282,R_1K1DmlmYvBngzly,NA,1,,,,,,,,,,,,,,
283,R_OOrwKDM9E8r8ju1,Finding consistent results across different studies taking into account context-specific processes.,,,,1,,,1,,,1,,,,,
